player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,cluster_level,cluster_piso,cluster_pressao,cluster_saque,cluster_duplafalta,cluster_servico,cluster_retorno,cluster_bpcontra,cluster_bpfavor,cluster_pontos,cluster_game,cluster_match,cluster_tiebreak,cluster_upset,cluster_dominance,cluster_rodada,cluster_velocidade,cluster_oponente
36223,Dominik Koepfer,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,2,1,1,1,2,1,1,1,2,1
5438,Steve Johnson,29,United States,Right-handed,Two-handed,2012,5516519,4,0,1,0,1,0,0,3,0,2,2,2,0,0,2,0,0,0,1
26755,Soon Woo Kwon,21,"Korea, Republic of",Right-handed,Two-handed,0,351464,0,1,0,1,0,1,2,1,1,2,1,2,1,1,1,1,2,1,0
5868,Stefano Travaglia,27,Italy,0,Two-handed,2011,559197,0,1,0,1,1,0,0,3,1,0,1,2,1,0,0,0,2,1,2
6315,Thiago Monteiro,25,Brazil,Left-handed,Two-handed,2011,1130183,0,1,0,1,0,0,2,3,1,0,2,1,1,2,2,1,2,1,1
11766,Kamil Majchrzak,23,Poland,Right-handed,Two-handed,2014,398255,0,1,0,0,0,1,2,3,1,2,2,1,1,2,0,1,1,2,0
26009,Tommy Paul,22,United States,Right-handed,Two-handed,2015,627160,0,0,0,1,0,0,2,3,1,2,2,2,0,0,1,1,1,1,0
4728,Kevin Anderson,33,South Africa,Right-handed,Two-handed,2007,16293854,6,0,1,0,2,0,0,3,0,2,2,0,0,2,0,0,3,0,1
4914,Leonardo Mayer,32,Argentina,Right-handed,One-handed,2003,6492427,2,0,1,0,1,1,0,3,0,2,2,2,0,2,2,0,0,0,1
11762,Brayden Schnur,24,Canada,Right-handed,Two-handed,2016,414637,0,1,0,1,1,1,2,0,0,2,2,1,1,0,2,1,0,2,0
5422,Prajnesh Gunneswaran,29,India,Left-handed,Two-handed,0,628514,0,1,0,0,0,1,2,0,2,2,0,1,1,2,0,1,1,2,1
50813,Jannik Sinner,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,2,0,1,1,1,4,1,1
45439,Alexei Popyrin,20,Australia,0,Two-handed,2017,612916,0,1,0,1,1,1,0,0,0,2,2,1,1,2,1,1,1,1,1
6085,Salvatore Caruso,26,Italy,Right-handed,Two-handed,2011,404813,0,1,0,1,0,0,1,2,1,0,2,2,1,2,1,1,4,1,1
44495,Jaume Munar,22,Spain,0,Two-handed,2014,1037912,0,0,0,0,0,0,2,1,1,2,2,2,1,2,2,1,1,0,1
44526,Lloyd George Muirhead Harris,22,South Africa,Right-handed,Two-handed,2015,562269,0,1,0,0,1,0,2,1,1,0,0,2,0,0,2,0,4,1,0
6064,Egor Gerasimov,26,Belarus,Right-handed,Two-handed,2010,360093,0,0,0,0,1,1,0,1,1,2,2,0,0,2,1,0,1,1,1
4606,Tomas Berdych,34,Czech Republic,Right-handed,Two-handed,2002,29491328,13,0,1,0,1,0,0,1,0,0,0,0,0,2,0,2,3,0,2
5953,Henri Laaksonen,27,Switzerland,Right-handed,Two-handed,2009,946192,0,0,0,0,0,1,2,1,1,0,2,2,0,0,1,0,4,1,0
5986,Damir Dzumhur,27,Bosnia and Herzegovina,Right-handed,Two-handed,2011,3869834,3,0,1,0,0,0,1,2,1,0,2,2,0,0,2,0,0,0,1
6196,Jiri Vesely,26,Czech Republic,Left-handed,Two-handed,2009,3676231,1,0,1,0,1,1,0,3,0,2,2,2,0,0,2,0,4,0,2
5602,Bradley Klahn,29,United States,Left-handed,Two-handed,2012,1176787,0,1,0,0,1,1,2,0,1,2,2,1,1,2,2,1,2,2,0
3333,Ivo Karlovic,40,Croatia,Right-handed,One-handed,2000,9810596,8,0,1,0,2,1,0,0,0,2,2,2,0,2,2,0,0,0,2
5209,Yuichi Sugita,31,Japan,Right-handed,Two-handed,0,1843740,1,1,1,0,0,0,2,3,1,2,2,2,0,0,2,1,4,1,1
5528,Evgeny Donskoy,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,1,1,0,2,1,1,1,0
5601,Norbert Gombos,29,Slovakia,Right-handed,Two-handed,0,774886,0,1,0,0,0,1,2,3,0,2,2,1,1,0,2,1,2,2,0
5888,James Duckworth,27,Australia,Right-handed,Two-handed,2010,1398973,0,0,0,0,1,0,2,0,0,2,1,1,1,0,1,1,1,1,0
6107,Taro Daniel,26,Japan,Right-handed,Two-handed,0,1626003,1,1,0,0,0,0,1,1,1,0,2,1,1,2,0,1,0,1,0
4716,Marcel Granollers,33,Spain,Right-handed,Two-handed,2003,10759457,4,0,1,0,0,0,2,1,1,0,0,2,0,0,2,1,0,0,1
5403,Andrej Martin,30,Slovakia,Right-handed,Two-handed,2005,666041,0,1,0,1,0,0,1,2,1,0,0,2,0,0,1,0,3,0,1
6031,Denis Kudla,27,United States,Right-handed,Two-handed,2010,2940388,0,1,1,0,1,1,2,3,1,0,2,1,0,0,2,1,1,1,0
5333,Thomas Fabbiano,30,Italy,Right-handed,Two-handed,2005,1805758,0,1,1,0,0,1,1,1,1,2,2,1,1,0,2,1,1,1,1
20265,Yannick Maden,30,Germany,0,Two-handed,2013,551700,0,1,0,1,0,0,1,1,1,0,2,1,1,0,1,1,2,1,0
3893,Paolo Lorenzi,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,2,2,1,1,0,0,1,0,1,0
25953,Gianluca Mager,24,Italy,Right-handed,Two-handed,0,200642,0,1,0,1,1,0,2,1,2,0,0,2,1,2,1,0,2,2,0
4423,Go Soeda,35,Japan,Right-handed,Two-handed,0,1892729,0,1,0,0,0,0,2,3,2,2,0,1,0,0,0,1,4,1,0
5216,Juan Martin Del Potro,31,Argentina,Right-handed,Two-handed,2005,25889586,22,0,1,0,1,0,0,1,0,0,0,0,0,2,0,2,3,0,2
5367,Peter Gojowczyk,30,Germany,Right-handed,Two-handed,2006,2538046,1,0,1,0,1,1,2,3,1,0,0,2,0,0,1,1,4,1,1
11174,Elias Ymer,23,Sweden,Right-handed,Two-handed,2014,914476,0,1,0,0,0,0,2,3,1,2,2,1,1,0,0,1,2,2,0
6204,Marcos Giron,26,United States,Right-handed,Two-handed,2014,292168,0,1,0,1,0,1,2,0,0,2,2,1,1,2,1,1,2,2,0
25960,Antonie Hoang,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,2,1,1,1,1,0
10580,Dennis Novak,26,Austria,Right-handed,Two-handed,2011,709278,0,1,1,0,0,1,2,1,1,0,1,2,0,0,0,1,1,1,1
4913,Andy Murray,32,United Kingdom,Right-handed,Two-handed,2005,61259702,46,0,1,0,1,0,0,2,0,0,2,0,0,2,0,2,3,0,2
5140,Tatsuma Ito,0,0,0,0,0,0,0,1,1,0,0,0,2,3,2,2,0,1,0,2,0,1,2,1,1
11548,Sumit Nagal,22,India,Right-handed,Two-handed,0,216435,0,1,0,1,0,1,1,1,2,2,0,1,1,1,2,1,2,2,0
5351,Jason Jung,30,"Taiwan, Province of China",Right-handed,Two-handed,0,458991,0,1,0,1,0,1,2,3,0,2,2,1,1,1,0,1,2,2,0
11176,Hyeon Chung,23,"Korea, Republic of",Right-handed,Two-handed,2014,3566408,0,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0,1
17203,Marc Polmans,22,Australia,0,Two-handed,0,507297,0,1,0,1,0,1,1,1,1,2,1,1,1,2,0,1,1,2,0
11429,Mackenzie Mcdonald,24,United States,Right-handed,Two-handed,2016,1210098,0,0,1,1,0,0,2,3,1,0,2,1,1,2,1,1,1,1,1
5805,Guido Andreozzi,28,Argentina,Right-handed,Two-handed,2008,974869,0,1,0,0,0,1,2,3,1,2,2,1,1,0,2,1,2,1,0
5219,Attila Balazs,31,Hungary,Right-handed,Two-handed,0,444731,0,1,0,0,0,1,2,3,0,2,2,0,0,2,1,1,4,2,0
5717,Steven Diez,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,2,0,1,1,1,0,1,2,2,0
5148,Pedro Sousa,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,2,0,0,0,1,2,2,0
5476,Facundo Bagnis,29,Argentina,Left-handed,Two-handed,2007,1297523,0,1,0,0,0,1,2,3,1,2,0,1,1,0,0,1,2,1,0
5629,Blaz Rola,0,0,0,0,0,0,0,1,0,1,0,1,2,3,1,2,2,2,0,0,2,1,1,1,0
6317,Christopher Oconnell,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,1,1,2,0,1,2,2,0
11164,Zhizhen Zhang,23,China,0,Two-handed,2012,188501,0,1,0,0,1,0,0,3,0,2,2,2,0,2,1,0,2,2,1
5364,Martin Klizan,30,Slovakia,Left-handed,Two-handed,2007,4810128,6,0,1,0,0,1,2,1,1,0,2,2,0,2,2,0,0,0,1
